organization_key,location_status,country,eligible,location_reason,location_sources,location_checked_date,location_confidence
deeee,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom et adresse factices; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
delta web,Exclue — autre ville tunisienne,Tunisie,Non,"Une annonce publique situe Delta Web à Khézama, Sousse.",https://www.tunisietravail.net/delta-web-it-recrute-developpeur-web-et-logiciels-92574/,2026-09-25,Moyenne
designet web agency,Exclue — autre ville tunisienne,Tunisie,Non,"La page entreprise situe Designet à Menzel Temime, Nabeul.",https://www.keejob.com/offres-emploi/companies/19911/designet-web-agency/,2026-09-25,Élevée
digimytch,Ariana,Tunisie,Oui,"La page LinkedIn de l'entreprise indique Menzah 6, Ariana.",https://www.linkedin.com/company/digimytch,2026-09-25,Élevée
discovery intech,Tunis,Tunisie,Oui,"Le site officiel situe Discovery Intech à Charguia II, Tunis.",https://www.discovery.com.tn/fr/recherche,2026-09-25,Élevée
docstream solutions,Exclue — autre ville tunisienne,Tunisie,Non,La page LinkedIn de l'entreprise indique Monastir.,https://www.linkedin.com/company/docstreamsolutions,2026-09-25,Élevée
dot it,Exclue — autre ville tunisienne,Tunisie,Non,L'adresse source indique la technopole de Sousse.,"Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
dr oetker gias,Exclue — autre ville tunisienne,Tunisie,Non,"L'annuaire du gouvernorat situe Dr. Oetker GIAS à Grombalia, Nabeul.",https://www.nabeul.gov.tn/fr/web-2-0-directory-2/dr-oetker-gias/,2026-09-25,Élevée
eaezr,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom et adresse factices; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
ensta bretagne,Étranger,France,Oui,L'annuaire officiel de l'administration française situe ENSTA Bretagne à Brest.,https://lannuaire.service-public.gouv.fr/gouvernement/e789f321-05a2-4dc2-9367-c7d7228334a7,2026-09-25,Élevée
esigelec,Étranger,France,Oui,"Le site officiel situe le campus à Saint-Étienne-du-Rouvray, France.",https://esigelec.fr/fr/nous-contacter,2026-09-25,Élevée
ess mondial gmbh,Étranger,Allemagne,Oui,"Le site officiel indique Reinbek, Allemagne.",https://ess-mondial.de/de/unternehmen,2026-09-25,Élevée
estarta solutions,Étranger,Jordanie,Oui,"Le site officiel indique Amman, Jordanie.",https://www.estarta.com/privacy-policy/,2026-09-25,Élevée
eventizer platforms,Ariana,Tunisie,Oui,"L'adresse publique et l'adresse CSV situent Eventizer à Menzah 8, Ariana.",https://tn.linkedin.com/jobs/view/assistant-administratif-et-financier-chez-eventizer-platforms-at-eventizer-3953399959,2026-09-25,Moyenne
fourity,Étranger,Serbie,Oui,"Le site officiel indique Novi Sad, Serbie.",https://www.fourity.com/contact-us/,2026-09-25,Élevée
get wireless,Tunis,Tunisie,Oui,"Le site officiel indique une adresse au Lac 3/Khaireddine, Tunis.",https://getwireless.com.tn/a-propos-get-wireless/,2026-09-25,Élevée
hello dati,Tunis,Tunisie,Oui,"L'annuaire d'entreprise situe Hello Dati à Cité El Khadhra, Tunis.",https://www.africabizinfo.com/fr-TN/hello-dati,2026-09-25,Moyenne
hochschule offenburg,Étranger,Allemagne,Oui,"Le site officiel indique Offenburg, Allemagne.",https://www.hs-offenburg.de/impressum,2026-09-25,Élevée
hope horizan,Ariana,Tunisie,Oui,"L'adresse source indique Riadh El Andalous, Ariana.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
influence consulting,Exclue — autre ville tunisienne,Tunisie,Non,"La page LinkedIn indique le Cyberparc Hammam Lif, Ben Arous.",https://www.linkedin.com/company/influenceconsulting,2026-09-25,Élevée
inoteqia health tech,Tunis,Tunisie,Oui,"L'adresse source indique Aïn Zaghouan, gouvernorat de Tunis.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
institut des regions arides ira,Exclue — autre ville tunisienne,Tunisie,Non,Le site public de l'institut indique Médenine.,https://grinta-sud.com/contact/,2026-09-25,Moyenne
institute of reliable embedded systems and communication electronics ivesk,Étranger,Allemagne,Oui,"Le site de l'institut le rattache à Hochschule Offenburg, Allemagne.",https://ivesk.hs-offenburg.de/en/page-3,2026-09-25,Élevée
international ems trainer,Ariana,Tunisie,Oui,"Un document officiel du ministère mentionne l'adresse à Ennaser 2, Ariana.",https://www.mtc.gov.tn/fileadmin/Investisseurs/Cahier_des_Charges/Liste__des_societes_integrateurs.pdf,2026-09-25,Élevée
it network consulting,Tunis,Tunisie,Oui,"L'adresse source indique Cité des Médecins, El Manar 2, Tunis.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
it youb consulting,Exclue — autre ville tunisienne,Tunisie,Non,"L'adresse source indique Ben Guerdane, Médenine; le mot « Tunis » désigne ici le pays et non la ville.",https://www.xing.com/profile/Nacer_Selmi,2026-09-25,Moyenne
jawaker,Étranger,Émirats arabes unis,Oui,La page de contact officielle indique le siège actuel à Abu Dhabi; l'adresse CSV d'Amman est également étrangère.,https://www.jawaker.com/en/contact,2026-09-25,Élevée
ke tunisia,Tunis,Tunisie,Oui,"L'adresse source indique Rue du Lac Loch Ness, Les Berges du Lac, Tunis.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
la poste tunisienne bureau de poste 3070 kerkennah,Exclue — autre ville tunisienne,Tunisie,Non,"Le bureau est situé à Kerkennah, Sfax.",https://ween.tn/fiche/bureau-de-poste-kerkennah,2026-09-25,Moyenne
la societe tunisienne d electricite et de gaz,Exclue — autre ville tunisienne,Tunisie,Non,L'enregistrement source concerne Médenine Nord.,https://tunisie-electricite.com/medenine/beni-khedache,2026-09-25,Moyenne
laboratoire dynafor,Étranger,France,Oui,"L'annuaire officiel INRAE situe DYNAFOR à Auzeville-Tolosane, France.",https://annuaire.inrae.fr/structure/1201,2026-09-25,Élevée
laboratoire laria ensi,Exclue — autre ville tunisienne,Tunisie,Non,L'ENSI et son laboratoire sont situés au campus de La Manouba.,https://uma.rnu.tn/fr/research-structures?name=ecole-nationale-des-sciences-de-linformatique&universityEstablishment=2,2026-09-25,Élevée
leader solution tactile,Exclue — autre ville tunisienne,Tunisie,Non,"Le profil public situe l'entreprise à Golaa, Kébili.",https://tn.linkedin.com/in/arwa-benmansour-a57053262,2026-09-25,Moyenne
leoni tunisie,Exclue — autre ville tunisienne,Tunisie,Non,"Les implantations citées sont à Messadine et Sidi Bou Ali, gouvernorat de Sousse.",https://taa.tn/fr/node/261,2026-09-25,Élevée
level up by proxiad,Tunis,Tunisie,Oui,"Golden Tower se trouve au Centre Urbain Nord, Tunis.",https://mapcarta.com/fr/W522407305,2026-09-25,Moyenne
lisic ulco,Étranger,France,Oui,"Le site du LISIC indique Calais, France.",https://lisic-prod.univ-littoral.fr/,2026-09-25,Élevée
maklada,Exclue — autre ville tunisienne,Tunisie,Non,"La documentation publique situe MAKLADA à El Jem, Mahdia.",https://www.dm.gov.ae/wp-content/uploads/2019/02/CL12020162-1.pdf,2026-09-25,Moyenne
meddevo,Étranger,Allemagne,Oui,"Les mentions légales officielles indiquent Haunetal, Allemagne.",https://www.meddevo.com/de/de/pharma/impressum,2026-09-25,Élevée
medicacom,Exclue — autre ville tunisienne,Tunisie,Non,Le site officiel situe Medicacom à Sfax.,https://www.medicacom.tn/a-propos/,2026-09-25,Élevée
megasoft,Exclue — autre ville tunisienne,Tunisie,Non,"La fiche publique de l'application indique Moknine, Monastir.",https://play.google.com/store/apps/details?id=com.megasofterp.mobile,2026-09-25,Moyenne
military research center,Tunis,Tunisie,Oui,"La publication scientifique rattache le Military Research Center à L'Aouina, Tunis.",https://doi.org/10.1038/s41598-026-48925-1,2026-09-25,Élevée
national,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom trop générique et aucune adresse exploitable; identité impossible à déterminer.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
national smart for green solutions and applications,Exclue — autre ville tunisienne,Tunisie,Non,"Le registre d'entreprise indique Ras Jebel, Bizerte.",https://b2bhint.com/en/company/tn/socobat--1333287N,2026-09-25,Moyenne
neusta inspire gmbh,Étranger,Allemagne,Oui,"Les mentions légales officielles indiquent Brême, Allemagne.",https://www.neusta-inspire.de/impressum/,2026-09-25,Élevée
novel ti,Exclue — autre ville tunisienne,Tunisie,Non,L'annuaire professionnel situe Novel-TI à Sfax.,https://annuairepro-afrique.com/en/novel-ti-sfax-tunisie,2026-09-25,Moyenne
piva software,Exclue — autre ville tunisienne,Tunisie,Non,Le registre d'entreprise situe PIVA Software à Sfax.,https://www.dnb.com/business-directory/company-profiles.ste_piva_software.3e065201c2e6e3023b1d946eacf7937f.html,2026-09-25,Moyenne
planblue gmbh,Étranger,Allemagne,Oui,"Un document institutionnel de l'entreprise indique Brême, Allemagne.",https://sdgs.un.org/sites/default/files/2025-06/PlanBlue.pdf,2026-09-25,Élevée
progresssoft,Étranger,Jordanie,Oui,"La page de contact officielle situe ProgressSoft à Amman, Jordanie.",https://www.progressoft.com/cn/company/contactus,2026-09-25,Élevée
prologic tunisie,Tunis,Tunisie,Oui,L'annuaire situe le siège de Prologic Tunisie à Tunis.,https://fr.cybo.com/TN-biz/prologic-tunisie-si%C3%A8ge-social_1i,2026-09-25,Moyenne
qsffq,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom factice ou incomplet; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
quantylix,Tunis,Tunisie,Oui,"L'annuaire professionnel situe Quantylix à La Goulette/Lac 3, Tunis.",https://www.goafricaonline.com/tn/693204-quantylix-tunisie,2026-09-25,Moyenne
responsible cyber,Étranger,Singapour,Oui,Un document officiel CyberSG situe Responsible Cyber à Singapour.,https://tig.cybersg.sg/wp-content/uploads/2024/05/Responsible-Cyber-Pte.-Ltd.pdf.pdf,2026-09-25,Élevée
run it,Exclue — autre ville tunisienne,Tunisie,Non,Le site officiel et la page LinkedIn indiquent Mahdia.,https://www.run-it.tn/ | https://www.linkedin.com/company/runit-tunisie,2026-09-25,Élevée
sancella,Exclue — autre ville tunisienne,Tunisie,Non,"Les annonces publiques de Sancella/SOTUPA indiquent Ksibet El Mediouni, Monastir.",https://fr.linkedin.com/posts/groupe-sotupa-sancella-recrutement-97b5811a4_nous-recrutons-vous-%C3%AAtes-passionn%C3%A9-activity-7359510827424432128-xZnw,2026-09-25,Moyenne
sdfsdf,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom factice ou incomplet; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
seneca innovation center,Tunis,Tunisie,Oui,La page LinkedIn actuelle de l'entreprise indique Tunis comme siège.,https://www.linkedin.com/company/seneca-innovation-center,2026-09-25,Élevée
siryos,Tunis,Tunisie,Oui,"La page de contact officielle situe Siryos au Centre Urbain Nord, Tunis.",https://siryos.com/contact,2026-09-25,Élevée
slama freres,Exclue — autre ville tunisienne,Tunisie,Non,"Le site officiel indique Oued Ellil, La Manouba.",https://www.nejmahuiles.com/A-propos-de-nous?ln=eng,2026-09-25,Élevée
smart engineering,Exclue — autre ville tunisienne,Tunisie,Non,"Le site de l'entreprise situe l'activité à Borj Cedria, Ben Arous.",https://novahann.com/,2026-09-25,Moyenne
smart world it swit,Tunis,Tunisie,Oui,L'annonce légale et l'adresse source rattachent la société à Tunis.,https://lake.jort.tn/annonces-legales/fr/2009/039.pdf,2026-09-25,Moyenne
smartegy tunisia,Exclue — autre ville tunisienne,Tunisie,Non,"La page de contact officielle indique Boumhel, Ben Arous.",https://smartegy.tn/contact/,2026-09-25,Élevée
societe regionale de transport medenine,Exclue — autre ville tunisienne,Tunisie,Non,Le site officiel indique Médenine.,https://srtm.tn/contact/,2026-09-25,Élevée
sqlfm,Exclue — autre ville tunisienne,Tunisie,Non,"Le registre d'entreprise situe SQLFM à Zarzis, Médenine.",https://entreprises.lefigaro.fr/sqlfm-00/entreprise-899294375,2026-09-25,Moyenne
ste codiris technologique and consulting,Exclue — autre ville tunisienne,Tunisie,Non,L'adresse source indique Monastir.,"Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
stmicroelectronics,Ariana,Tunisie,Oui,"Une documentation certifiée situe STMicroelectronics au Technopôle El Ghazala, Ariana.",https://www.commoncriteriaportal.org/nfs/ccpfiles/files/epfiles/NSCIB-CC-0638980_st_vA01_0.pdf,2026-09-25,Élevée
sw consulting,Exclue — autre ville tunisienne,Tunisie,Non,"Le registre d'entreprise situe SW Consulting à Bouhjar, Monastir.",https://www.info-clipper.com/fr/entreprise/tunisie/sw-consulting.tnd62tl1c.html,2026-09-25,Moyenne
taki academie,Exclue — autre ville tunisienne,Tunisie,Non,"L'adresse source et les résultats publics indiquent Sahloul, Sousse.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
the road solutions,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Les résultats trouvés concernent des homonymes étrangers sans preuve qu'ils correspondent à l'enregistrement tunisien.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
training technology 2 0,Localisation non vérifiable,Non trouvé/non vérifiable,Non,L'adresse « Zar » est insuffisante et aucun résultat fiable ne permet d'identifier l'entité.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
tunisie micro informatique tmi,Tunis,Tunisie,Oui,"Le registre LEI situe TMI à El Kram, gouvernorat de Tunis.",https://lei.bloomberg.com/leis/view/4117NMWXFO9M6JC1E362,2026-09-25,Élevée
unite de catalyse et chimie du solide universite dartois faculte des sciences jean perrin,Étranger,France,Oui,"Le site universitaire situe l'UCCS Artois à Lens, France.",https://uccs-old.univ-lille.fr/index.php/fr/vie-a-l-uccs/infos-pratiques/venir-a-l-uccs-lens,2026-09-25,Élevée
vsx,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Sigle trop ambigu et aucune adresse exploitable; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
zimys,Exclue — autre ville tunisienne,Tunisie,Non,"La page LinkedIn de l'entreprise indique Boumhel, Ben Arous.",https://fr.linkedin.com/company/zimys,2026-09-25,Élevée
