organization_key,sector,target_roles,match_score_10,match_reason,junior_status,junior_evidence,active_jobs,linkedin_contact_name,linkedin_contact_role,linkedin_profile,contact_verification,verified_email,email_status,application_channel,recommended_cv,language,potential_score_100,foreign_employee_status,foreign_employee_evidence,sources,checked_date,verification_status,notes,email_subject,email_body,linkedin_invitation,linkedin_followup
dourbia,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Dourbia pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Dourbia pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Dourbia. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Dourbia. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
dsx advisory,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à DSX Advisory pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à DSX Advisory pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez DSX Advisory. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez DSX Advisory. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
dyxis,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Dyxis pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Dyxis pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Dyxis. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Dyxis. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
e tafakna,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à E-Tafakna pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à E-Tafakna pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez E-Tafakna. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez E-Tafakna. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
eaexpertise,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à EAExpertise pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à EAExpertise pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez EAExpertise. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez EAExpertise. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
eagle projects tunisie,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Eagle projects tunisie pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Eagle projects tunisie pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Eagle projects tunisie. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Eagle projects tunisie. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
ecocloud,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Ecocloud pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Ecocloud pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Ecocloud. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Ecocloud. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
edivops,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à EDIVOPS pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à EDIVOPS pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez EDIVOPS. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez EDIVOPS. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
elco solutions,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à ELCO Solutions pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à ELCO Solutions pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez ELCO Solutions. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez ELCO Solutions. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
elitecom,Autre / à vérifier,"informatique, automatisation, Data/IA ou transformation digitale",4.0,Activité insuffisamment précise dans le fichier source,Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,33,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à ELITECOM pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à ELITECOM pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez ELITECOM. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez ELITECOM. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
